ORGANIZATION,TOTAL,PREDICTION
PartyD,7870,LOW
PartyC,1350,MEDIUM
PartyC,6688,LOW
PartyC,-3540,VERY HIGH
PartyD,5084,LOW
PartyA,5666,LOW
PartyA,2332,MEDIUM
PartyA,5398,LOW
PartyC,7838,LOW
PartyC,1799,MEDIUM
PartyA,2120,MEDIUM
PartyA,5750,LOW
PartyA,7319,LOW
PartyC,5518,LOW
PartyA,1285,MEDIUM
PartyC,-1550,VERY HIGH
PartyD,1396,MEDIUM
PartyC,6171,LOW
PartyA,111,HIGH
PartyC,1303,MEDIUM
PartyA,-160,VERY HIGH
PartyC,1715,MEDIUM
PartyD,1616,MEDIUM
PartyC,5204,LOW
PartyD,2241,MEDIUM
PartyC,-1400,VERY HIGH
PartyC,2272,MEDIUM
PartyC,7454,LOW
PartyB,0,HIGH
PartyB,6986,LOW
PartyA,7422,LOW
PartyC,298,HIGH
PartyD,-4520,VERY HIGH
PartyC,1681,MEDIUM
PartyB,7296,LOW
PartyC,1582,MEDIUM
PartyB,-2300,VERY HIGH
PartyA,5492,LOW
PartyB,1088,MEDIUM
PartyD,1015,MEDIUM
PartyA,-200,VERY HIGH
PartyC,-1280,VERY HIGH
PartyD,2099,MEDIUM
PartyB,1584,MEDIUM
PartyB,6452,LOW
PartyA,1556,MEDIUM
PartyB,1454,MEDIUM
PartyB,3,HIGH
PartyD,1656,MEDIUM
PartyA,5242,LOW
PartyD,5484,LOW
PartyA,1316,MEDIUM
PartyD,6442,LOW
PartyC,7182,LOW
PartyB,1905,MEDIUM
PartyA,1820,MEDIUM
PartyA,5030,LOW
PartyB,6047,LOW
PartyC,5508,LOW
PartyD,2112,MEDIUM
PartyD,-850,VERY HIGH
PartyC,6926,LOW
PartyC,5714,LOW
PartyD,290,HIGH
PartyC,1342,MEDIUM
PartyD,-6620,VERY HIGH
PartyC,6474,LOW
PartyD,6814,LOW
PartyC,1125,MEDIUM
PartyA,1788,MEDIUM
PartyD,6818,LOW
PartyB,2129,MEDIUM
PartyB,5202,LOW
PartyD,-4920,VERY HIGH
PartyA,5543,LOW
PartyA,5002,LOW
PartyA,6846,LOW
PartyA,6313,LOW
PartyD,6152,LOW
PartyB,2213,MEDIUM
PartyC,1978,MEDIUM
PartyA,310,HIGH
PartyC,6356,LOW
PartyD,5445,LOW
PartyA,6425,LOW
PartyB,85,HIGH
PartyC,6828,LOW
PartyA,46,HIGH
PartyD,2060,MEDIUM
PartyA,-120,VERY HIGH
PartyA,-1075,VERY HIGH
PartyB,1748,MEDIUM
PartyB,6554,LOW
PartyB,5492,LOW
PartyD,7810,LOW
PartyB,6840,LOW
PartyC,7065,LOW
PartyC,5563,LOW
PartyD,-7540,VERY HIGH
PartyC,5743,LOW
PartyD,5006,LOW
PartyB,2067,MEDIUM
PartyD,6913,LOW
PartyA,5864,LOW
PartyA,6690,LOW
PartyD,5000,LOW
PartyC,5858,LOW
PartyB,5687,LOW
PartyA,6941,LOW
PartyB,222,HIGH
PartyD,6286,LOW
PartyD,6446,LOW
PartyA,5345,LOW
PartyC,5168,LOW
PartyB,2087,MEDIUM
PartyC,5820,LOW
PartyB,2030,MEDIUM
PartyB,2147,MEDIUM
PartyD,6264,LOW
PartyC,5847,LOW
PartyD,6670,LOW
PartyC,-5600,VERY HIGH
PartyA,7164,LOW
PartyC,5085,LOW
PartyD,6946,LOW
PartyC,5536,LOW
PartyD,1066,MEDIUM
PartyB,-6120,VERY HIGH
PartyD,1460,MEDIUM
PartyD,5000,LOW
PartyC,5044,LOW
PartyB,2052,MEDIUM
PartyA,6974,LOW
PartyD,6004,LOW
PartyC,1692,MEDIUM
PartyB,7281,LOW
PartyC,1938,MEDIUM
PartyC,6822,LOW
PartyC,5828,LOW
PartyB,2145,MEDIUM
PartyD,7460,LOW
PartyB,5963,LOW
PartyA,2029,MEDIUM
PartyA,6800,LOW
PartyD,6846,LOW
PartyA,5780,LOW
PartyD,1429,MEDIUM
PartyA,1908,MEDIUM
PartyC,7490,LOW
PartyC,5036,LOW
PartyD,7922,LOW
PartyC,183,HIGH
PartyA,1198,MEDIUM
PartyC,1000,MEDIUM
PartyD,5817,LOW
PartyC,1634,MEDIUM
PartyB,7508,LOW
PartyC,6950,LOW
PartyC,5742,LOW
PartyD,6550,LOW
PartyD,7238,LOW
PartyB,1102,MEDIUM
PartyA,2248,MEDIUM
PartyB,6592,LOW
PartyC,7470,LOW
PartyA,6928,LOW
PartyA,5880,LOW
PartyA,1506,MEDIUM
PartyB,5900,LOW
PartyD,6319,LOW
PartyC,5491,LOW
PartyA,184,HIGH
PartyA,7302,LOW
PartyD,5000,LOW
PartyB,6614,LOW
PartyD,5856,LOW
PartyC,5622,LOW
PartyD,2226,MEDIUM
PartyA,6850,LOW
PartyD,6390,LOW
PartyA,5238,LOW
PartyD,5152,LOW
PartyA,-940,VERY HIGH
PartyD,5516,LOW
PartyA,5884,LOW
PartyD,2379,MEDIUM
PartyD,7413,LOW
PartyB,7213,LOW
PartyC,1377,MEDIUM
PartyD,234,HIGH
PartyD,6167,LOW
PartyD,2202,MEDIUM
PartyC,6288,LOW
PartyC,7302,LOW
PartyD,56,HIGH
PartyC,1293,MEDIUM
PartyB,5328,LOW
PartyD,350,HIGH
PartyA,-120,VERY HIGH
PartyC,6602,LOW
PartyA,7125,LOW
PartyB,2101,MEDIUM
PartyA,-120,VERY HIGH
PartyD,1990,MEDIUM
PartyA,9,HIGH
PartyD,5000,LOW
PartyB,6524,LOW
PartyA,2025,MEDIUM
PartyD,-1250,VERY HIGH
PartyB,6680,LOW
PartyB,6568,LOW
PartyD,6360,LOW
PartyA,1209,MEDIUM
PartyD,1642,MEDIUM
PartyD,-5800,VERY HIGH
PartyA,1714,MEDIUM
PartyD,-2680,VERY HIGH
PartyA,1590,MEDIUM
PartyA,5051,LOW
PartyD,6344,LOW
PartyD,7840,LOW
PartyC,7400,LOW
PartyA,5007,LOW
PartyD,10,HIGH
PartyC,1474,MEDIUM
PartyB,306,HIGH
PartyA,-1460,VERY HIGH
PartyA,2175,MEDIUM
PartyA,2298,MEDIUM
PartyB,1490,MEDIUM
PartyB,252,HIGH
PartyD,5475,LOW
PartyD,6061,LOW
PartyA,7463,LOW
PartyD,5812,LOW
PartyD,1575,MEDIUM
PartyA,6001,LOW
PartyB,1739,MEDIUM
PartyA,2268,MEDIUM
PartyB,5994,LOW
PartyA,2420,MEDIUM
PartyA,1176,MEDIUM
PartyD,5000,LOW
PartyA,5152,LOW
PartyD,6632,LOW
PartyC,2016,MEDIUM
PartyC,1346,MEDIUM
PartyA,1377,MEDIUM
PartyA,1300,MEDIUM
PartyD,7499,LOW
PartyC,5757,LOW
PartyD,2023,MEDIUM
PartyC,7224,LOW
PartyC,1000,MEDIUM
PartyB,6141,LOW
PartyC,7518,LOW
PartyB,6270,LOW
PartyC,7320,LOW
PartyB,2497,MEDIUM
PartyB,6232,LOW
PartyA,2027,MEDIUM
PartyB,24,HIGH
PartyC,1326,MEDIUM
PartyA,7138,LOW
PartyC,6478,LOW
PartyC,1464,MEDIUM
PartyA,6984,LOW
PartyB,5435,LOW
PartyC,6985,LOW
PartyC,1325,MEDIUM
PartyC,1775,MEDIUM
PartyB,7650,LOW
PartyA,-3500,VERY HIGH
PartyA,7014,LOW
PartyC,1298,MEDIUM
PartyC,5260,LOW
PartyB,1027,MEDIUM
PartyC,7138,LOW
PartyC,2113,MEDIUM
PartyA,352,HIGH
PartyA,6152,LOW
PartyD,6292,LOW
PartyA,2394,MEDIUM
PartyB,5074,LOW
PartyB,6368,LOW
PartyD,6934,LOW
PartyB,384,HIGH
PartyA,5857,LOW
PartyB,-120,VERY HIGH
PartyA,6324,LOW
PartyA,-120,VERY HIGH
PartyA,7790,LOW
PartyB,0,HIGH
PartyC,7330,LOW
PartyC,-1120,VERY HIGH
PartyB,-1920,VERY HIGH
PartyC,70,HIGH
PartyB,6959,LOW
PartyA,2256,MEDIUM
PartyA,2193,MEDIUM
PartyC,7242,LOW
PartyD,7016,LOW
PartyA,1256,MEDIUM
PartyD,2237,MEDIUM
PartyA,-220,VERY HIGH
PartyC,7021,LOW
PartyC,2444,MEDIUM
PartyB,2049,MEDIUM
PartyC,1836,MEDIUM
PartyB,2298,MEDIUM
PartyB,6914,LOW
PartyB,5421,LOW
PartyA,1174,MEDIUM
PartyC,6937,LOW
PartyA,5078,LOW
PartyA,5557,LOW
PartyD,6716,LOW
PartyA,7027,LOW
PartyD,6478,LOW
PartyC,6428,LOW
PartyA,5551,LOW
PartyC,1567,MEDIUM
PartyD,5340,LOW
PartyA,6930,LOW
PartyD,1662,MEDIUM
PartyC,1452,MEDIUM
PartyD,7864,LOW
PartyC,1169,MEDIUM
PartyD,-280,VERY HIGH
PartyD,7223,LOW
PartyD,7234,LOW
PartyA,1550,MEDIUM
PartyC,2012,MEDIUM
PartyD,6899,LOW
PartyB,7242,LOW
PartyD,5397,LOW
PartyA,5123,LOW
PartyC,6640,LOW
PartyB,2252,MEDIUM
PartyA,6354,LOW
PartyA,1166,MEDIUM
PartyD,6487,LOW
PartyD,2287,MEDIUM
PartyD,5542,LOW
PartyC,2458,MEDIUM
PartyA,5434,LOW
PartyC,1850,MEDIUM
PartyD,6642,LOW
PartyA,7425,LOW
PartyB,6505,LOW
PartyB,7340,LOW
PartyC,6786,LOW
PartyD,6960,LOW
PartyD,5852,LOW
PartyB,1908,MEDIUM
PartyA,1433,MEDIUM
PartyD,-400,VERY HIGH
PartyC,-375,VERY HIGH
PartyB,56,HIGH
PartyD,6608,LOW
PartyD,5082,LOW
PartyA,2473,MEDIUM
PartyA,7168,LOW
PartyA,1704,MEDIUM
PartyD,-4420,VERY HIGH
PartyD,218,HIGH
PartyB,-5240,VERY HIGH
PartyB,6930,LOW
PartyB,1062,MEDIUM
PartyA,1468,MEDIUM
PartyA,6080,LOW
PartyD,5796,LOW
PartyB,1711,MEDIUM
PartyA,1043,MEDIUM
PartyC,6526,LOW
PartyC,1975,MEDIUM
PartyC,1576,MEDIUM
PartyC,7630,LOW
PartyB,2270,MEDIUM
PartyA,6328,LOW
PartyA,181,HIGH
PartyB,6103,LOW
PartyA,-3580,VERY HIGH
PartyA,134,HIGH
PartyD,1930,MEDIUM
PartyA,-520,VERY HIGH
PartyD,6385,LOW
PartyB,2310,MEDIUM
PartyA,5137,LOW
PartyA,2460,MEDIUM
PartyB,1582,MEDIUM
PartyB,6220,LOW
PartyB,2177,MEDIUM
PartyB,6203,LOW
PartyD,2426,MEDIUM
PartyA,5477,LOW
PartyC,5417,LOW
PartyA,7291,LOW
PartyA,6194,LOW
PartyB,5118,LOW
PartyD,6113,LOW
PartyC,6006,LOW
PartyA,1500,MEDIUM
PartyD,288,HIGH
PartyA,6167,LOW
PartyA,5544,LOW
PartyD,7064,LOW
PartyD,1204,MEDIUM
PartyC,2151,MEDIUM
PartyD,6436,LOW
PartyC,5744,LOW
PartyD,5000,LOW
PartyA,5722,LOW
PartyC,7339,LOW
PartyD,1793,MEDIUM
PartyC,2313,MEDIUM
PartyB,0,HIGH
PartyD,98,HIGH
PartyA,6451,LOW
PartyA,-5640,VERY HIGH
PartyC,6632,LOW
PartyC,2150,MEDIUM
PartyB,7482,LOW
PartyB,6498,LOW
PartyB,160,HIGH
PartyD,5950,LOW
PartyB,6950,LOW
PartyA,5138,LOW
PartyB,6533,LOW
PartyC,2187,MEDIUM
PartyC,5004,LOW
PartyB,6585,LOW
PartyB,1526,MEDIUM
PartyD,2458,MEDIUM
PartyB,5357,LOW
PartyB,-1900,VERY HIGH
PartyD,7802,LOW
PartyB,6737,LOW
PartyA,-1325,VERY HIGH
PartyD,2391,MEDIUM
PartyD,5542,LOW
PartyB,1844,MEDIUM
PartyC,5396,LOW
PartyA,1500,MEDIUM
PartyC,5123,LOW
PartyD,5496,LOW
PartyA,5244,LOW
PartyC,5952,LOW
PartyB,6827,LOW
PartyD,19,HIGH
PartyA,1960,MEDIUM
PartyC,-4240,VERY HIGH
PartyB,-230,VERY HIGH
PartyA,-1220,VERY HIGH
PartyC,6468,LOW
PartyD,-2740,VERY HIGH
PartyB,5274,LOW
PartyB,1209,MEDIUM
PartyA,6294,LOW
PartyC,5228,LOW
PartyB,1395,MEDIUM
PartyB,5866,LOW
PartyB,5311,LOW
PartyA,6546,LOW
PartyC,1596,MEDIUM
PartyC,-1500,VERY HIGH
PartyC,1716,MEDIUM
PartyD,5175,LOW
PartyC,1000,MEDIUM
PartyC,2038,MEDIUM
PartyC,7131,LOW
PartyD,5019,LOW
PartyB,7306,LOW
PartyB,1736,MEDIUM
PartyB,2416,MEDIUM
PartyB,2150,MEDIUM
PartyA,-720,VERY HIGH
PartyD,1194,MEDIUM
PartyD,6986,LOW
PartyC,-525,VERY HIGH
PartyB,7626,LOW
PartyC,5604,LOW
PartyD,-6040,VERY HIGH
PartyA,2421,MEDIUM
PartyA,-1580,VERY HIGH
PartyA,7216,LOW
PartyB,2480,MEDIUM
PartyA,5715,LOW
PartyD,1138,MEDIUM
PartyD,1020,MEDIUM
PartyB,5792,LOW
PartyA,5522,LOW
PartyC,5226,LOW
PartyD,1615,MEDIUM
PartyD,6220,LOW
PartyA,6826,LOW
PartyB,7862,LOW
PartyB,1259,MEDIUM
PartyD,1802,MEDIUM
PartyA,2390,MEDIUM
PartyC,1364,MEDIUM
PartyD,7497,LOW
PartyB,6394,LOW
PartyD,1528,MEDIUM
PartyA,2344,MEDIUM
PartyC,5790,LOW
PartyD,6014,LOW
PartyC,378,HIGH
PartyA,7390,LOW
PartyD,168,HIGH
PartyA,190,HIGH
PartyC,7411,LOW
PartyD,2458,MEDIUM
PartyB,7460,LOW
PartyC,-1660,VERY HIGH
PartyC,5285,LOW
PartyC,5394,LOW
PartyB,6693,LOW
PartyD,5296,LOW
PartyB,1698,MEDIUM
PartyB,1749,MEDIUM
PartyB,2387,MEDIUM
PartyA,1468,MEDIUM
PartyA,1464,MEDIUM
PartyC,5400,LOW
PartyC,5053,LOW
PartyD,7174,LOW
PartyC,5685,LOW
PartyC,2350,MEDIUM
PartyA,7864,LOW
PartyA,-1940,VERY HIGH
PartyA,6938,LOW
PartyA,1234,MEDIUM
PartyA,6432,LOW
PartyA,-750,VERY HIGH
PartyA,7574,LOW
PartyB,7403,LOW
PartyB,5210,LOW
PartyC,5242,LOW
PartyC,2420,MEDIUM
PartyA,1420,MEDIUM
PartyD,5461,LOW
PartyA,1757,MEDIUM
PartyA,-120,VERY HIGH
PartyC,7291,LOW
PartyB,-1090,VERY HIGH
PartyA,7082,LOW
PartyC,7062,LOW
PartyA,6697,LOW
PartyC,2227,MEDIUM
PartyC,6123,LOW
PartyB,-1660,VERY HIGH
PartyD,6964,LOW
PartyD,1534,MEDIUM
PartyA,7414,LOW
PartyB,1398,MEDIUM
PartyB,6308,LOW
PartyC,-7780,VERY HIGH
PartyB,6404,LOW
PartyA,1363,MEDIUM
PartyB,1544,MEDIUM
PartyC,2060,MEDIUM
PartyC,6096,LOW
PartyB,2120,MEDIUM
PartyB,6036,LOW
PartyD,6402,LOW
PartyD,5593,LOW
PartyD,5399,LOW
PartyA,7140,LOW
PartyB,5826,LOW
PartyC,7136,LOW
PartyC,-1060,VERY HIGH
PartyC,2114,MEDIUM
PartyB,1659,MEDIUM
PartyD,5284,LOW
PartyB,-2880,VERY HIGH
PartyA,1432,MEDIUM
PartyC,7156,LOW
PartyD,7442,LOW
PartyC,-100,VERY HIGH
PartyD,1608,MEDIUM
PartyA,7848,LOW
PartyC,1255,MEDIUM
PartyB,5125,LOW
PartyB,1178,MEDIUM
PartyA,6792,LOW
PartyD,5042,LOW
PartyC,-2540,VERY HIGH
PartyC,1000,MEDIUM
PartyB,5586,LOW
PartyA,1521,MEDIUM
PartyB,1818,MEDIUM
PartyD,6518,LOW
PartyD,26,HIGH
PartyB,1760,MEDIUM
PartyD,1329,MEDIUM
PartyD,1313,MEDIUM
PartyA,1782,MEDIUM
PartyD,-2560,VERY HIGH
PartyC,102,HIGH
PartyB,7190,LOW
PartyC,1582,MEDIUM
PartyC,7690,LOW
PartyC,7946,LOW
PartyB,1246,MEDIUM
PartyC,5112,LOW
PartyC,1000,MEDIUM
PartyD,5386,LOW
PartyD,-3940,VERY HIGH
PartyB,2103,MEDIUM
PartyB,2289,MEDIUM
PartyB,5458,LOW
PartyB,5080,LOW
PartyC,7734,LOW
PartyD,5278,LOW
PartyA,1026,MEDIUM
PartyD,5469,LOW
PartyC,6472,LOW
PartyA,6174,LOW
PartyD,7087,LOW
PartyB,-920,VERY HIGH
PartyA,1370,MEDIUM
PartyA,5294,LOW
PartyA,7902,LOW
PartyA,6319,LOW
PartyB,6700,LOW
PartyA,2218,MEDIUM
PartyC,5434,LOW
PartyD,7215,LOW
PartyC,6286,LOW
PartyC,1626,MEDIUM
PartyA,1602,MEDIUM
PartyA,1220,MEDIUM
PartyD,7301,LOW
PartyB,6839,LOW
PartyB,-4460,VERY HIGH
PartyD,7126,LOW
PartyB,2361,MEDIUM
PartyB,7166,LOW
PartyB,5870,LOW
PartyD,2143,MEDIUM
PartyA,6826,LOW
PartyB,7360,LOW
PartyD,7728,LOW
PartyB,5803,LOW
PartyD,7133,LOW
PartyA,1585,MEDIUM
PartyA,5072,LOW
PartyA,1612,MEDIUM
PartyA,2436,MEDIUM
PartyB,2188,MEDIUM
PartyA,-1430,VERY HIGH
PartyA,-1990,VERY HIGH
PartyD,6170,LOW
PartyB,2007,MEDIUM
PartyB,2284,MEDIUM
PartyA,6332,LOW
PartyC,6067,LOW
PartyC,6312,LOW
PartyB,2468,MEDIUM
PartyB,5245,LOW
PartyD,6694,LOW
PartyB,1032,MEDIUM
PartyA,2090,MEDIUM
PartyA,-120,VERY HIGH
PartyC,6094,LOW
PartyD,6491,LOW
PartyA,1650,MEDIUM
PartyC,1123,MEDIUM
PartyA,143,HIGH
PartyC,5104,LOW
PartyA,7950,LOW
PartyC,6969,LOW
PartyB,7171,LOW
PartyB,5326,LOW
PartyB,5470,LOW
PartyD,1561,MEDIUM
PartyB,1874,MEDIUM
PartyD,2141,MEDIUM
PartyB,-5500,VERY HIGH
PartyC,-270,VERY HIGH
PartyA,5081,LOW
PartyA,-1840,VERY HIGH
PartyB,5351,LOW
PartyB,6147,LOW
PartyD,6450,LOW
PartyD,2025,MEDIUM
PartyC,2210,MEDIUM
PartyC,6565,LOW
PartyB,1892,MEDIUM
PartyB,5884,LOW
PartyB,1622,MEDIUM
PartyB,5325,LOW
PartyD,5000,LOW
PartyD,5058,LOW
PartyD,5421,LOW
PartyA,-120,VERY HIGH
PartyD,-480,VERY HIGH
PartyB,0,HIGH
PartyC,2405,MEDIUM
PartyD,1066,MEDIUM
PartyA,6530,LOW
PartyA,146,HIGH
PartyB,5345,LOW
PartyB,16,HIGH
PartyB,220,HIGH
PartyC,6076,LOW
PartyB,1816,MEDIUM
PartyA,-2480,VERY HIGH
PartyA,5162,LOW
PartyB,1812,MEDIUM
PartyC,-1500,VERY HIGH
PartyC,-3220,VERY HIGH
PartyB,-7960,VERY HIGH
PartyA,5890,LOW
PartyB,6252,LOW
PartyB,6857,LOW
PartyD,-5780,VERY HIGH
PartyC,1623,MEDIUM
PartyC,1910,MEDIUM
PartyD,5199,LOW
PartyC,7796,LOW
PartyC,2412,MEDIUM
PartyC,63,HIGH
PartyA,36,HIGH
PartyC,6196,LOW
PartyC,5379,LOW
PartyA,25,HIGH
PartyD,5214,LOW
PartyD,6498,LOW
PartyD,5618,LOW
PartyB,7332,LOW
PartyC,1178,MEDIUM
PartyC,304,HIGH
PartyC,-5200,VERY HIGH
PartyB,6402,LOW
PartyD,5123,LOW
PartyC,5768,LOW
PartyD,1613,MEDIUM
PartyC,7407,LOW
PartyA,5141,LOW
PartyC,5178,LOW
PartyD,6777,LOW
PartyC,6012,LOW
PartyD,7254,LOW
PartyA,5351,LOW
PartyA,6219,LOW
PartyA,5210,LOW
PartyC,7498,LOW
PartyA,6957,LOW
PartyB,1161,MEDIUM
PartyC,-5340,VERY HIGH
PartyD,1542,MEDIUM
PartyB,5000,LOW
PartyC,5188,LOW
PartyB,-1875,VERY HIGH
PartyA,7714,LOW
PartyC,1729,MEDIUM
PartyD,5596,LOW
PartyA,7105,LOW
PartyA,5204,LOW
PartyB,1893,MEDIUM
PartyD,-2260,VERY HIGH
PartyC,6336,LOW
PartyA,7316,LOW
PartyC,6916,LOW
PartyC,2036,MEDIUM
PartyB,7155,LOW
PartyD,5946,LOW
PartyC,6158,LOW
PartyB,5907,LOW
PartyB,187,HIGH
PartyD,-5500,VERY HIGH
PartyD,7060,LOW
PartyD,1905,MEDIUM
PartyC,7416,LOW
PartyD,-2080,VERY HIGH
PartyD,7196,LOW
PartyA,7338,LOW
PartyA,7166,LOW
PartyA,5788,LOW
PartyA,5171,LOW
PartyB,5060,LOW
PartyD,100,HIGH
PartyA,6353,LOW
PartyD,5956,LOW
PartyA,5568,LOW
PartyA,5064,LOW
PartyD,2464,MEDIUM
PartyB,6976,LOW
PartyD,5968,LOW
PartyD,7274,LOW
PartyA,5302,LOW
PartyD,49,HIGH
PartyB,6266,LOW
PartyD,5070,LOW
PartyA,1172,MEDIUM
PartyD,5197,LOW
PartyD,1408,MEDIUM
PartyA,6480,LOW
PartyC,198,HIGH
PartyD,1624,MEDIUM
PartyA,1472,MEDIUM
PartyC,6524,LOW
PartyB,6545,LOW
PartyD,6366,LOW
PartyD,1456,MEDIUM
PartyA,1087,MEDIUM
PartyA,1547,MEDIUM
PartyB,1594,MEDIUM
PartyC,6530,LOW
PartyC,6891,LOW
PartyB,7200,LOW
PartyC,1900,MEDIUM
PartyB,7816,LOW
PartyA,5334,LOW
PartyA,-7160,VERY HIGH
PartyD,1706,MEDIUM
PartyA,7263,LOW
PartyD,2272,MEDIUM
PartyB,2426,MEDIUM
PartyB,5663,LOW
PartyD,-1875,VERY HIGH
PartyC,6906,LOW
PartyA,5100,LOW
PartyA,7420,LOW
PartyB,-540,VERY HIGH
PartyD,7566,LOW
PartyA,1790,MEDIUM
PartyC,422,HIGH
PartyC,5829,LOW
PartyA,1515,MEDIUM
PartyB,-975,VERY HIGH
PartyA,6636,LOW
PartyC,6494,LOW
PartyD,173,HIGH
PartyB,-500,VERY HIGH
PartyA,6127,LOW
PartyD,2286,MEDIUM
PartyC,6442,LOW
PartyC,1139,MEDIUM
PartyC,5124,LOW
PartyC,-2025,VERY HIGH
PartyB,5944,LOW
PartyC,-2325,VERY HIGH
PartyA,6024,LOW
PartyD,5000,LOW
PartyA,1448,MEDIUM
PartyD,-4780,VERY HIGH
PartyA,5080,LOW
PartyA,6814,LOW
PartyA,1250,MEDIUM
PartyA,1732,MEDIUM
PartyB,6399,LOW
PartyA,5498,LOW
PartyC,6238,LOW
PartyD,7668,LOW
PartyA,1477,MEDIUM
PartyD,6392,LOW
PartyC,5521,LOW
PartyD,1707,MEDIUM
PartyA,5877,LOW
PartyA,5165,LOW
PartyA,2190,MEDIUM
PartyA,1010,MEDIUM
PartyB,6820,LOW
PartyB,73,HIGH
PartyD,1446,MEDIUM
PartyD,5876,LOW
PartyA,1147,MEDIUM
PartyD,1894,MEDIUM
PartyD,6006,LOW
PartyD,1100,MEDIUM
PartyC,1833,MEDIUM
PartyC,6648,LOW
